Customer_ID,Num_Bank_Accounts,Num_Credit_Card,Type_of_Loan,Credit_History_Age,Account_ID
CUS_0xd40,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",22 Years and 1 Months,1
CUS_0x21b1,2,4,Credit-Builder Loan,26 Years and 7 Months,2
CUS_0x2dbc,1,5,"Auto Loan, Auto Loan, and Not Specified",17 Years and 9 Months,3
CUS_0xb891,2,5,Not Specified,17 Years and 3 Months,4
CUS_0x1cdb,7,5,,30 Years and 8 Months,5
CUS_0x95ee,4,1288,,,6
CUS_0x284a,0,1,"Credit-Builder Loan, and Mortgage Loan",30 Years and 7 Months,7
CUS_0x5407,8,7,"Not Specified, Auto Loan, and Student Loan",,8
CUS_0x4157,2,5,"Personal Loan, Debt Consolidation Loan, and Auto Loan",21 Years and 4 Months,9
CUS_0xba08,0,5,"Not Specified, and Payday Loan",,10
CUS_0xa66b,5,5,"Credit-Builder Loan, Personal Loan, and Auto Loan",19 Years and 2 Months,11
CUS_0xc0ab,3,6,"Payday Loan, and Payday Loan",25 Years and 5 Months,12
CUS_0x3e45,6,4,"Not Specified, Student Loan, and Personal Loan",26 Years and 10 Months,13
CUS_0x6c66,6,5,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",8 Years and 11 Months,14
CUS_0xff4,8,7,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",18 Years and 2 Months,15
CUS_0x33d2,6,6,"Payday Loan, and Home Equity Loan",16 Years and 10 Months,16
CUS_0x6070,6,7,,29 Years and 2 Months,17
CUS_0xfdb,6,7,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",6 Years and 5 Months,18
CUS_0x3553,6,6,,27 Years and 2 Months,19
CUS_0x4100,6,7,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",18 Years and 2 Months,20
CUS_0x132f,7,5,,19 Years and 3 Months,21
CUS_0xa16e,7,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",10 Years and 1 Months,22
CUS_0xac86,4,4,,32 Years and 9 Months,23
CUS_0x5b48,5,5,"Not Specified, Student Loan, and Student Loan",12 Years and 3 Months,24
CUS_0xa5f9,9,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",,25
CUS_0x4d43,8,6,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",17 Years and 10 Months,26
CUS_0xb95f,9,8,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",13 Years and 8 Months,27
CUS_0x3edc,3,3,Debt Consolidation Loan,19 Years and 2 Months,28
CUS_0xbffe,6,3,"Payday Loan, Not Specified, and Auto Loan",30 Years and 3 Months,29
CUS_0xb681,10,8,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",,30
CUS_0x9a71,1,5,"Auto Loan, and Home Equity Loan",18 Years and 3 Months,31
CUS_0x6048,7,7,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",18 Years and 9 Months,32
CUS_0x95b5,4,3,"Mortgage Loan, and Payday Loan",8 Years and 8 Months,33
CUS_0x4004,8,5,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",13 Years and 1 Months,34
CUS_0xb101,2,7,"Auto Loan, Auto Loan, and Not Specified",21 Years and 5 Months,35
CUS_0x9b94,3,518,Not Specified,25 Years and 7 Months,36
CUS_0x4080,1231,7,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",,37
CUS_0x706a,4,5,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",27 Years and 11 Months,38
CUS_0x42ac,8,5,"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",7 Years and 10 Months,39
CUS_0x571f,5,7,"Mortgage Loan, and Not Specified",24 Years and 3 Months,40
CUS_0xb5ff,5,5,,17 Years and 1 Months,41
CUS_0x6a1b,7,9,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",1 Years and 2 Months,42
CUS_0x9bc1,6,3,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",10 Years and 11 Months,43
CUS_0xc65,3,4,"Personal Loan, Mortgage Loan, and Payday Loan",30 Years and 7 Months,44
CUS_0xaedb,4,2,,19 Years and 7 Months,45
CUS_0x8e9b,10,10,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",,46
CUS_0x609d,7,10,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",13 Years and 11 Months,47
CUS_0x75c6,2,6,"Auto Loan, and Payday Loan",20 Years and 8 Months,48
CUS_0x9b3c,10,9,"Student Loan, Auto Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Auto Loan, and Personal Loan",0 Years and 4 Months,49
CUS_0x22a3,8,4,"Personal Loan, and Student Loan",31 Years and 7 Months,50
CUS_0xb14,7,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",16 Years and 10 Months,51
CUS_0xb986,9,9,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",12 Years and 5 Months,52
CUS_0xbe1b,8,5,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",12 Years and 7 Months,53
CUS_0x9ce6,4,3,,27 Years and 3 Months,54
CUS_0x6ffb,6,514,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",11 Years and 4 Months,55
CUS_0x4315,8,7,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",,56
CUS_0x3f5b,5,3,,17 Years and 7 Months,57
CUS_0x9d78,10,7,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",12 Years and 8 Months,58
CUS_0x47db,9,5,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",10 Years and 1 Months,59
CUS_0x8f17,8,5,"Mortgage Loan, Personal Loan, and Not Specified",19 Years and 1 Months,60
CUS_0x7d0b,10,8,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",10 Years and 2 Months,61
CUS_0x7504,7,3,"Not Specified, Credit-Builder Loan, Payday Loan, and Credit-Builder Loan",31 Years and 1 Months,62
CUS_0x774,5,2,"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",,63
CUS_0x9f70,5,1,,17 Years and 1 Months,64
CUS_0xab76,5,7,"Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",13 Years and 2 Months,65
CUS_0x5cdf,8,943,"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",5 Years and 2 Months,66
CUS_0x2184,8,7,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",2 Years and 11 Months,67
CUS_0xa156,8,5,"Not Specified, Payday Loan, Auto Loan, and Home Equity Loan",13 Years and 1 Months,68
CUS_0x74f2,5,6,"Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan",24 Years and 3 Months,69
CUS_0x308b,8,8,"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",16 Years and 4 Months,70
CUS_0x2827,0,3,"Payday Loan, and Not Specified",22 Years and 11 Months,71
CUS_0xa295,5,4,"Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan",8 Years and 4 Months,72
CUS_0x6c2e,2,3,"Home Equity Loan, and Student Loan",30 Years and 9 Months,73
CUS_0x384c,8,9,"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",4 Years and 5 Months,74
CUS_0x6cbb,0,262,Auto Loan,32 Years and 8 Months,75
CUS_0x36ab,10,7,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",12 Years and 2 Months,76
CUS_0x6649,8,5,,31 Years and 11 Months,77
CUS_0x6856,1,3,"Student Loan, Auto Loan, Auto Loan, and Payday Loan",26 Years and 7 Months,78
CUS_0xa27e,6,5,Home Equity Loan,,79
CUS_0x700d,6,6,"Payday Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",12 Years and 11 Months,80
CUS_0x78e0,8,4,"Student Loan, and Auto Loan",29 Years and 9 Months,81
CUS_0x6794,3,3,Student Loan,25 Years and 7 Months,82
CUS_0xe2c,7,7,"Auto Loan, Auto Loan, Auto Loan, and Personal Loan",32 Years and 10 Months,83
CUS_0x36bb,8,5,"Mortgage Loan, and Mortgage Loan",26 Years and 2 Months,84
CUS_0xa77f,7,5,"Personal Loan, Payday Loan, and Auto Loan",17 Years and 9 Months,85
CUS_0x1e70,6,5,"Mortgage Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, and Student Loan",,86
CUS_0xa335,6,8,"Mortgage Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",11 Years and 2 Months,87
CUS_0x71e0,1,7,"Student Loan, Mortgage Loan, Not Specified, and Not Specified",28 Years and 3 Months,88
CUS_0x4af0,7,3,"Home Equity Loan, Credit-Builder Loan, Student Loan, and Personal Loan",29 Years and 2 Months,89
CUS_0x3861,3,5,,18 Years and 11 Months,90
CUS_0x240d,3,1247,,19 Years and 11 Months,91
CUS_0x2652,2,1,,,92
CUS_0x259a,4,3,Student Loan,30 Years and 4 Months,93
CUS_0x28b5,6,5,,28 Years and 7 Months,94
CUS_0x8643,7,10,"Student Loan, Not Specified, Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Not Specified, and Student Loan",,95
CUS_0x12d5,9,9,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",1 Years and 4 Months,96
CUS_0x3f04,5,6,"Personal Loan, and Payday Loan",33 Years and 1 Months,97
CUS_0x62c6,3,4,"Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",25 Years and 9 Months,98
CUS_0x398d,3,6,"Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan",28 Years and 9 Months,99
CUS_0x618b,6,8,"Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan",4 Years and 9 Months,100
CUS_0x7250,3,4,Student Loan,31 Years and 7 Months,101
CUS_0x6435,3,5,"Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan",32 Years and 8 Months,102
CUS_0xb6ad,10,5,"Auto Loan, Auto Loan, Student Loan, and Home Equity Loan",8 Years and 9 Months,103
CUS_0x7878,7,3,Debt Consolidation Loan,24 Years and 3 Months,104
CUS_0x35b5,7,5,"Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",5 Years and 9 Months,105
CUS_0x7a0f,9,6,"Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan",,106
CUS_0x1c09,5,5,,22 Years and 4 Months,107
CUS_0x2c0d,1,7,"Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",16 Years and 4 Months,108
CUS_0x9073,7,5,,22 Years and 9 Months,109
CUS_0x2813,5,5,Debt Consolidation Loan,21 Years and 7 Months,110
